:START_ID(Character-ID),:END_ID(Character-ID),:TYPE
R676,R675,同事
R676,R673,同事
R676,R674,同事
R676,R677,同事
R676,R672,所属救援队
R676,R690,现任机构
R677,R693,履历
R677,character_sR144,性别
R677,R676,同事
R677,R675,同事
R677,R673,同事
R677,R674,同事
R677,R672,所属救援队
R677,R690,现任机构
R678,R694,履历
R678,character_sR145,性别
R678,R680,同事
R678,R679,同事
R678,R672,所属救援队
R678,R695,现任机构
R679,R696,履历
R679,character_sR146,性别
R679,R680,同事
R679,R678,同事
R679,R672,所属救援队
R679,R695,现任机构
R680,R697,履历
R680,character_sR147,性别
R680,R679,同事
R680,R678,同事
R680,R672,所属救援队
R680,R695,现任机构
R681,R698,履历
R681,character_sR148,性别
R681,R684,同事
R681,R683,同事
R681,R682,同事
R681,R672,所属救援队
R681,R699,现任机构
R682,R701,履历
R682,character_sR149,性别
R682,R684,同事
R682,R683,同事
R682,R681,同事
R682,R672,所属救援队
R682,R699,现任机构
R683,R700,履历
R683,character_sR150,性别
R683,R684,同事
R683,R682,同事
R683,R681,同事
R683,R672,所属救援队
R683,R699,现任机构
R684,R702,履历
R684,character_sR151,性别
R684,R683,同事
R684,R681,同事
R684,R672,所属救援队
R684,R699,现任机构
R685,R704,履历
R685,character_sR152,性别
R685,R687,同事
R685,R712,同事
R685,R688,同事
R685,R672,所属救援队
R687,R710,履历
R687,character_sR153,性别
R687,R712,同事
R687,R688,同事
R687,R685,同事
R687,R672,所属救援队
R687,R708,现任机构
R688,R711,履历
R688,character_sR154,性别
R688,R687,同事
R688,R712,同事
R688,R685,同事
R688,R672,所属救援队
R688,R708,现任机构
R70,R81,所在城市
R712,R707,履历
R712,R688,同事
R712,R687,同事
R712,R685,同事
R712,R672,所属救援队
R712,R708,现任机构
R714,R719,履历
R714,character_sR155,性别
R714,R715,同事
R714,R717,同事
R714,R716,同事
R714,R716,队友
R714,R715,队友
R714,R717,队友
R714,R21,队友
R714,R718,所属救援队
R714,R720,现任机构
R715,R719,履历
R715,character_sR156,性别
R715,R714,同事
R715,R716,同事
R715,R717,同事
R715,R21,队友
R715,R714,队友
R715,R717,队友
R715,R716,队友
R715,R718,所属救援队
R715,R720,现任机构
R716,R721,履历
R716,character_sR157,性别
R716,R717,同事
R716,R715,同事
R716,R714,同事
R716,R21,队友
R716,R714,队友
R716,R717,队友
R716,R715,队友
R716,R718,所属救援队
R716,R720,现任机构
R717,R722,履历
R717,character_sR158,性别
R717,R714,同事
R717,R716,同事
R717,R715,同事
R717,R716,队友
R717,R715,队友
R717,R21,队友
R717,R714,队友
R717,R718,所属救援队
R717,R720,现任机构
R718,R547,支援地点
R718,character_dR78,出发日期
R723,R745,履历
R723,character_sR159,性别
R723,R146,现任机构
R724,R746,履历
R724,character_sR160,性别
R724,R146,现任机构
R725,R747,履历
R725,character_sR161,性别
R725,R146,现任机构
R726,R746,履历
R726,character_sR162,性别
R726,R146,现任机构
R727,R746,履历
R727,character_sR163,性别
R727,R146,现任机构
R728,R745,履历
R728,character_sR164,性别
R728,R146,现任机构
R729,R747,履历
R729,character_sR165,性别
R729,R146,现任机构
R730,R746,履历
R730,character_sR166,性别
R730,R146,现任机构
R731,R746,履历
R731,character_sR167,性别
R731,R146,现任机构
R732,R746,履历
R732,character_sR168,性别
